iteration,dataset,accuracy,precision,recall,f1_score,roc_auc
iteration_2,dataset_transaction_type.json,0.84,0.8780487804878049,0.7659574468085106,0.8181818181818182,0.8671718185467684
iteration_1,dataset_transaction_type.json,0.84,0.8522727272727273,0.7978723404255319,0.8241758241758241,0.8877960658370132
iteration_2,dataset_device_used.json,0.725,0.696969696969697,0.7340425531914894,0.7150259067357513,0.790646326776395
iteration_2,dataset_previous_transaction.json,0.7,0.6888888888888889,0.6595744680851063,0.6739130434782609,0.7206945002007226
iteration_1,dataset_transaction_day.json,0.68,0.6704545454545454,0.6276595744680851,0.6483516483516484,0.7411682055399438
iteration_1,dataset_device_used.json,0.685,0.6534653465346535,0.7021276595744681,0.676923076923077,0.795463669209153
iteration_1,dataset_previous_transaction.json,0.64,0.627906976744186,0.574468085106383,0.6,0.7028803693295866
iteration_1,dataset_age_group.json,0.655,0.6262626262626263,0.6595744680851063,0.6424870466321243,0.7112103572862304
iteration_2,dataset_transaction_day.json,0.645,0.6095238095238096,0.6808510638297872,0.6432160804020101,0.7168807707747893
iteration_1,dataset_recurring_payment.json,0.62,0.5957446808510638,0.5957446808510638,0.5957446808510638,0.7024287434765154
iteration_2,dataset_recurring_payment.json,0.61,0.58,0.6170212765957447,0.5979381443298969,0.6501906864712967
iteration_2,dataset_age_group.json,0.61,0.5769230769230769,0.6382978723404256,0.6060606060606061,0.6860196708149338
